"","ASVs","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_7","ASV_7","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae",NA
"ASV_9","ASV_9","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Robbsia"
"ASV_10","ASV_10","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA
"ASV_11","ASV_11","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA
"ASV_12","ASV_12","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_13","ASV_13","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA
"ASV_15","ASV_15","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA
"ASV_17","ASV_17","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA
"ASV_18","ASV_18","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Buchnera"
"ASV_21","ASV_21","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA
"ASV_22","ASV_22","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae",NA
"ASV_23","ASV_23","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA
"ASV_45","ASV_45","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA
"ASV_48","ASV_48","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia"
"ASV_54","ASV_54","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA
"ASV_56","ASV_56","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Robbsia"
"ASV_61","ASV_61","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_62","ASV_62","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA
"ASV_66","ASV_66","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Dermacoccaceae",NA
"ASV_71","ASV_71","Bacteria","Acidobacteria","Acidobacteria_Gp1","Terriglobus",NA,NA
"ASV_72","ASV_72","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium"
"ASV_77","ASV_77","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"ASV_87","ASV_87","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA
