COUNT	SAMPLE	SCIENTIFIC_NAME	TAXID
75	16S_2	Mycobacterium	1763
39	16S_2	unclassified Bradyrhizobium	2631580
22	16S_2	Acidicapsa sp. CE1	1078845
18	16S_2	Bacillaceae	186817
15	16S_2	Silvibacterium bohemicum	1577686
14	16S_2	Hyphomicrobiaceae	45401
13	16S_2	Granulicella	940557
12	16S_2	unclassified Acidobacteriaceae	112074
10	16S_2	unclassified Telmatobacter	2634852
10	16S_2	Sphingobacteriaceae	84566
9	16S_2	Heyndrickxia acidicola	209389
9	16S_2	Steroidobacter sp.	1978227
8	16S_2	Acidisphaera sp. C37	1671484
8	16S_2	Bradyrhizobium sp. URHC0015	1703014
8	16S_2	unclassified Geobacter	2627627
7	16S_2	unclassified Herbaspirillum	2624150
6	16S_2	unclassified Rhizomicrobium	2649895
6	16S_2	Blastochloris	59282
6	16S_2	Edaphobacter sp.	1934404
6	16S_2	Clostridium magnum	33954
6	16S_2	Rhodoplanes sp.	1968906
6	16S_2	Aetherobacter	888829
5	16S_2	Edaphobacter lichenicola	2051959
5	16S_2	Rhizomicrobium sp. URHD0049	1703066
5	16S_2	Rhodoplanes	29407
5	16S_2	bacterium Ellin335	204678
5	16S_2	Flavitalea sp.	1909289
5	16S_2	Telmatobacter bradus	474953
5	16S_2	Nevskia	64001
5	16S_2	Streptomyces	1883
264	16S_1	Acidobacteriaceae bacterium	2052142
182	16S_1	unclassified Granulicella	2621151
161	16S_1	Opitutus sp.	1913982
116	16S_1	Granulicella sp.	1969471
94	16S_1	Geobacter pickeringii	345632
79	16S_1	Beijerinckiaceae	45404
76	16S_1	Methylocystis sp.	1911079
69	16S_1	type II methanotroph metano-II	120308
64	16S_1	Syntrophobacter wolinii	29527
54	16S_1	Acidobacteriaceae bacterium K5	1078887
50	16S_1	Sideroxydans	314343
44	16S_1	Rhodopila globiformis	1071
43	16S_1	Telmatobacter bradus	474953
36	16S_1	Acidobacteriaceae	204434
30	16S_1	bacterium Ellin5058	234245
28	16S_1	Acidisphaera	50714
28	16S_1	Terracidiphilus gabretensis	1577687
27	16S_1	Thermomonosporaceae bacterium YE4-D4-16-CH2	795107
26	16S_1	bacterium Ellin335	204678
25	16S_1	Rhizomicrobium sp. URHD0049	1703066
18	16S_1	Blastochloris	59282
17	16S_1	Steroidobacter sp.	1978227
16	16S_1	unclassified Bradyrhizobium	2631580
14	16S_1	Aciditerrimonas sp.	1872117
13	16S_1	Flavitalea sp.	1909289
13	16S_1	Spirochaeta sp.	28185
12	16S_1	unclassified Telmatobacter	2634852
12	16S_1	Acidobacteriaceae bacterium LWQ3	1387378
9	16S_1	Rhodoplanes	29407
9	16S_1	Solimicrobium silvestre	2099400
76	ITS_3	Psathyrella marquana	2259056
27	ITS_3	Saitozyma ninhbinhensis	388101
21	ITS_3	Mucor hiemalis	64493
19	ITS_3	Apiotrichum dulcitum	82515
18	ITS_3	Hebeloma crustuliniforme	34454
13	ITS_3	Didymellaceae	683158
12	ITS_3	Cladosporium	5498
11	ITS_3	Fusarium oxysporum	5507
11	ITS_3	Ascobolus stercorarius	255055
10	ITS_3	Chaetomiaceae sp.	1756124
10	ITS_3	Lectera colletotrichoides	1208925
9	ITS_3	Mucor sp.	1715236
9	ITS_3	Fusarium tricinctum species complex	679429
9	ITS_3	Linnemannia elongata	310910
8	ITS_3	Trichoderma sp.	1715253
8	ITS_3	Gaeumannomyces	29849
7	ITS_3	Mortierella sp.	1715235
7	ITS_3	Entomortierella beljakovae	979673
7	ITS_3	Hypomyces samuelsii	767784
6	ITS_3	Fusarium proliferatum	948311
6	ITS_3	Allophylaria subliciformis	2478803
5	ITS_3	Alternaria sp.	1715220
