"","COUNT","SAMPLE","SCIENTIFIC_NAME","TAXID","estimated_genome_size","confidence_interval_lower","confidence_interval_upper","genome_size_estimation_status","model_used","LCA","species","genus","family","order","class","phylum","superkingdom","clade","no rank","subclass","suborder","subphylum","subkingdom","kingdom","species group","section"
"query_1"," 75","16S_2","Mycobacterium","   1763",5709886.73971476,4293185.60008344,7423852.58368582,"OK","bayesian Bacteria","1763",NA,"1763","1762","85007","1760","201174","2","1783272","1",NA,NA,NA,NA,NA,NA,NA
"query_2"," 39","16S_2","unclassified Bradyrhizobium","2631580",8213634.74479621,6107560.69709866,10803906.8299584,"OK","bayesian Bacteria","2631580",NA,"374","41294","356","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_3"," 22","16S_2","Acidicapsa sp. CE1","1078845",6277969.35039029,4364494.62452481,8739301.92317086,"OK","bayesian Bacteria","1078845","1078845","1078830","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_4"," 18","16S_2","Bacillaceae"," 186817",3914854.01842968,2186660.85006433,6437513.00997694,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","186817",NA,NA,"186817","1385","91061","1239","2","1783272","1",NA,NA,NA,NA,NA,NA,NA
"query_5"," 15","16S_2","Silvibacterium bohemicum","1577686",6455356.5,6455255.65042886,6455457.34957114,"OK","reference_mean","1577686","1577686","1775468","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_6"," 14","16S_2","Hyphomicrobiaceae","  45401",4104982.40775387,2304146.24320263,7241760.13942758,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","45401",NA,NA,"45401","356","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_7"," 13","16S_2","Granulicella"," 940557",5404419.6952522,3829395.16703399,7221054.0630519,"OK","bayesian Bacteria","940557",NA,"940557","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_8"," 12","16S_2","unclassified Acidobacteriaceae"," 112074",5516947.14563386,2920264.88481035,9028670.71585202,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","112074",NA,NA,"204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_9"," 10","16S_2","unclassified Telmatobacter","2634852",5943259.4636682,3904304.89041114,8707409.78251419,"OK","bayesian Bacteria","2634852",NA,"1078829","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_10"," 10","16S_2","Sphingobacteriaceae","  84566",4912866.28073978,2488732.90802952,8261640.0430265,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","84566",NA,NA,"84566","200666","117747","976","2","1783270","1",NA,NA,NA,NA,NA,NA,NA
"query_11","  9","16S_2","Heyndrickxia acidicola"," 209389",5111003,5110681.00474786,5111324.99525214,"OK","reference_mean","209389","209389","2837504","186817","1385","91061","1239","2","1783272","1",NA,NA,NA,NA,NA,NA,NA
"query_12","  9","16S_2","Steroidobacter sp.","1978227",7501039.33333333,7499342.32098063,7502736.34568603,"OK","reference_mean","1978227","1978227","469322","2689614","3060226","1236","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_13","  8","16S_2","Acidisphaera sp. C37","1671484",5778034.37101898,4018844.28357707,7713514.34984851,"OK","bayesian Bacteria","1671484","1671484","50714","433","204441","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_14","  8","16S_2","Bradyrhizobium sp. URHC0015","1703014",8178891.88231949,6184161.16215649,10842495.9154625,"OK","bayesian Bacteria","1703014","1703014","374","41294","356","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_15","  8","16S_2","unclassified Geobacter","2627627",3986064.265562,3267187.04906883,4857877.9522955,"OK","bayesian Bacteria","2627627",NA,"28231","213422","3031668","3031651","200940","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_16","  7","16S_2","unclassified Herbaspirillum","2624150",5382235.21508807,3935032.50414595,7151043.46651182,"OK","bayesian Bacteria","2624150",NA,"963","75682","80840","28216","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_17","  6","16S_2","unclassified Rhizomicrobium","2649895",4484347.0390303,3180780.72110968,6331828.78821406,"OK","bayesian Bacteria","2649895",NA,"1241326","1921568","1921567","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_18","  6","16S_2","Blastochloris","  59282",3938412.15133264,2840868.84078597,5283235.85187,"OK","bayesian Bacteria","59282",NA,"59282","2831090","356","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_19","  6","16S_2","Edaphobacter sp.","1934404",4553997,4552954.45724386,4555039.54275614,"OK","reference_mean","1934404","1934404","388463","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_20","  6","16S_2","Clostridium magnum","  33954",3932132.94755689,2715698.37388815,5347677.87763735,"OK","bayesian Bacteria","33954","33954","1485","31979","186802","186801","1239","2","1783272","1",NA,NA,NA,NA,NA,NA,NA
"query_21","  6","16S_2","Rhodoplanes sp.","1968906",6477518,NA,NA,"OK","reference_mean","1968906","1968906","29407","45401","356","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_22","  6","16S_2","Aetherobacter"," 888829",6371263.27033197,2107668.87052839,15061105.8108745,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","888829",NA,"888829","49","3031712",NA,"2818505","2",NA,"1","3031711",NA,NA,NA,NA,NA,NA
"query_23","  5","16S_2","Edaphobacter lichenicola","2051959",5290040.42857143,5289205.21870743,5290875.63843542,"OK","reference_mean","2051959","2051959","388463","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_24","  5","16S_2","Rhizomicrobium sp. URHD0049","1703066",4458400.86421549,3148374.73283815,6098409.36325167,"OK","bayesian Bacteria","1703066","1703066","1241326","1921568","1921567","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_25","  5","16S_2","Rhodoplanes","  29407",4344384.12322304,3161451.0510945,5670461.4277985,"OK","bayesian Bacteria","29407",NA,"29407","45401","356","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_26","  5","16S_2","bacterium Ellin335"," 204678",4084566.53934127,2049010.34701447,7238792.01052719,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","204678","204678",NA,"1921568","1921567","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_27","  5","16S_2","Flavitalea sp.","1909289",7842418.78884547,5370618.34198669,11241631.9097282,"OK","bayesian Bacteria","1909289","1909289","1210116","563835","1853229","1853228","976","2","1783270","1",NA,NA,NA,NA,NA,NA,NA
"query_28","  5","16S_2","Telmatobacter bradus"," 474953",5899986.11536906,3935424.03770741,8424826.33868907,"OK","bayesian Bacteria","474953","474953","1078829","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_29","  5","16S_2","Nevskia","  64001",4758828.76395913,3589538.32421299,6243732.34789739,"OK","bayesian Bacteria","64001",NA,"64001","568386","1775403","1236","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_30","  5","16S_2","Streptomyces","   1883",8535158.34513757,6497687.49892837,11031342.7727946,"OK","bayesian Bacteria","1883",NA,"1883","2062","85011","1760","201174","2","1783272","1",NA,NA,NA,NA,NA,NA,NA
"query_31","264","16S_1","Acidobacteriaceae bacterium","2052142",5499467.81270929,2792282.25632397,9087878.88771788,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","2052142","2052142",NA,"204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_32","182","16S_1","unclassified Granulicella","2621151",5369864.4741093,3815524.47097964,7291616.76428342,"OK","bayesian Bacteria","2621151",NA,"940557","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_33","161","16S_1","Opitutus sp.","1913982",5251010.38717423,3807346.17227829,7221361.41584468,"OK","bayesian Bacteria","1913982","1913982","178440","134623","415000","414999","74201","2","1783257","1",NA,NA,NA,NA,NA,NA,NA
"query_34","116","16S_1","Granulicella sp.","1969471",5403934.24239962,3870681.92485317,7526375.37225269,"OK","bayesian Bacteria","1969471","1969471","940557","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_35"," 94","16S_1","Geobacter pickeringii"," 345632",3618700,NA,NA,"OK","reference_mean","345632","345632","28231","213422","3031668","3031651","200940","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_36"," 79","16S_1","Beijerinckiaceae","  45404",4794869.39679526,2586723.23433207,8100892.85469495,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","45404",NA,NA,"45404","356","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_37"," 76","16S_1","Methylocystis sp.","1911079",3841819,3840620.17356652,3843017.82643348,"OK","reference_mean","1911079","1911079","133","31993","356","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_38"," 69","16S_1","type II methanotroph metano-II"," 120308",4793879.49984187,2432128.76763442,8172617.178468,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","120308","120308",NA,"31993","356","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_39"," 64","16S_1","Syntrophobacter wolinii","  29527",4861709.166293,3378785.33391144,6574933.40786216,"OK","bayesian Bacteria","29527","29527","29526","213465","213462","3024408","200940","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_40"," 54","16S_1","Acidobacteriaceae bacterium K5","1078887",5591260.38779344,2970405.40901213,9295105.64405756,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","1078887","1078887",NA,"204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_41"," 50","16S_1","Sideroxydans"," 314343",3348816.31179045,2296131.94856562,4626895.64553514,"OK","bayesian Bacteria","314343",NA,"314343","90627","32003","28216","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_42"," 44","16S_1","Rhodopila globiformis","   1071",7247838,NA,NA,"OK","reference_mean","1071","1071","1070","433","204441","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_43"," 43","16S_1","Telmatobacter bradus"," 474953",5961370.99374431,3877762.88214344,8920352.56340065,"OK","bayesian Bacteria","474953","474953","1078829","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_44"," 36","16S_1","Acidobacteriaceae"," 204434",5531623.13633571,2922439.86603448,9405680.31881553,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","204434",NA,NA,"204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_45"," 30","16S_1","bacterium Ellin5058"," 234245",5475612.0447194,2919056.34896394,9273198.73799067,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","234245","234245",NA,"204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_46"," 28","16S_1","Acidisphaera","  50714",5773147.68940304,4030930.75136331,8066744.70586972,"OK","bayesian Bacteria","50714",NA,"50714","433","204441","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_47"," 28","16S_1","Terracidiphilus gabretensis","1577687",5345618,NA,NA,"OK","reference_mean","1577687","1577687","1768185","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
