"","COUNT","SAMPLE","SCIENTIFIC_NAME","TAXID","estimated_genome_size","confidence_interval_lower","confidence_interval_upper","genome_size_estimation_status","model_used","LCA","species","genus","family","order","class","phylum","superkingdom","clade","no rank","subclass","suborder","subphylum","subkingdom","kingdom","species group","section"
"query_1"," 75","16S_2","Mycobacterium","   1763",5661795.15708559,4334551.3368995,7239346.71887114,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","1763",NA,"1763","1762","85007","1760","201174","2","1783272","1",NA,NA,NA,NA,NA,NA,NA
"query_2"," 39","16S_2","unclassified Bradyrhizobium","2631580",8170348.87290173,5981719.00515482,10584693.7005215,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","2631580",NA,"374","41294","356","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_3"," 22","16S_2","Acidicapsa sp. CE1","1078845",6273942.7427569,4409920.57406843,8817204.47051098,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","1078845","1078845","1078830","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_4"," 18","16S_2","Bacillaceae"," 186817",3916239.21587724,2189987.35112345,6353378.63075761,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","186817",NA,NA,"186817","1385","91061","1239","2","1783272","1",NA,NA,NA,NA,NA,NA,NA
"query_5"," 15","16S_2","Silvibacterium bohemicum","1577686",6455356.5,6455255.65042886,6455457.34957114,"OK","reference_mean","1577686","1577686","1775468","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_6"," 14","16S_2","Hyphomicrobiaceae","  45401",4134998.91792995,2149940.60405729,6750610.21572039,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","45401",NA,NA,"45401","356","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_7"," 13","16S_2","Granulicella"," 940557",5379563.51888009,3918121.24196166,7245916.88986121,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","940557",NA,"940557","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_8"," 12","16S_2","unclassified Acidobacteriaceae"," 112074",5515134.73882774,2909123.60639436,9039716.33561579,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","112074",NA,NA,"204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_9"," 10","16S_2","unclassified Telmatobacter","2634852",5896822.90812021,3807433.29125661,8647992.58646349,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","2634852",NA,"1078829","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_10"," 10","16S_2","Sphingobacteriaceae","  84566",4866560.9458638,2499627.24544554,8138270.81201356,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","84566",NA,NA,"84566","200666","117747","976","2","1783270","1",NA,NA,NA,NA,NA,NA,NA
"query_11","  9","16S_2","Heyndrickxia acidicola"," 209389",5111003,5110681.00474786,5111324.99525214,"OK","reference_mean","209389","209389","2837504","186817","1385","91061","1239","2","1783272","1",NA,NA,NA,NA,NA,NA,NA
"query_12","  9","16S_2","Steroidobacter sp.","1978227",4827295.14285714,4825816.22558585,4828774.06012844,"OK","reference_mean","1978227","1978227","469322","2689614","3060226","1236","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_13","  8","16S_2","Acidisphaera sp. C37","1671484",5782350.75071558,4154420.44428586,7832691.57556603,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","1671484","1671484","50714","433","204441","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_14","  8","16S_2","Bradyrhizobium sp. URHC0015","1703014",8195440.24832286,5965635.42862599,10747318.722982,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","1703014","1703014","374","41294","356","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_15","  8","16S_2","unclassified Geobacter","2627627",3992627.50653638,3267525.00128688,4849482.68040502,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","2627627",NA,"28231","213422","3031668","3031651","200940","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_16","  7","16S_2","unclassified Herbaspirillum","2624150",5327426.01184802,3953522.39525756,7012036.75543088,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","2624150",NA,"963","75682","80840","28216","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_17","  6","16S_2","unclassified Rhizomicrobium","2649895",4462432.27623013,3130708.36278007,6113460.36222038,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","2649895",NA,"1241326","1921568","1921567","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_18","  6","16S_2","Blastochloris","  59282",3945808.10801008,2766603.00920875,5273507.54252764,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","59282",NA,"59282","2831090","356","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_19","  6","16S_2","Edaphobacter sp.","1934404",3657159.07142857,3656145.58237614,3658172.560481,"OK","reference_mean","1934404","1934404","388463","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_20","  6","16S_2","Clostridium magnum","  33954",3934772.96317445,2738585.41868863,5624356.66001899,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","33954","33954","1485","31979","186802","186801","1239","2","1783272","1",NA,NA,NA,NA,NA,NA,NA
"query_21","  6","16S_2","Rhodoplanes sp.","1968906",4566979.2,4564908.72292983,4569049.67707017,"OK","reference_mean","1968906","1968906","29407","45401","356","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_22","  6","16S_2","Aetherobacter"," 888829",6347330.37065625,2027941.56484124,15049893.2996208,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","888829",NA,"888829","49","3031712",NA,"2818505","2",NA,"1","3031711",NA,NA,NA,NA,NA,NA
"query_23","  5","16S_2","Edaphobacter lichenicola","2051959",5290040.42857143,5289205.21870743,5290875.63843542,"OK","reference_mean","2051959","2051959","388463","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_24","  5","16S_2","Rhizomicrobium sp. URHD0049","1703066",4479115.61046373,3155773.95822401,6292124.18687966,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","1703066","1703066","1241326","1921568","1921567","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_25","  5","16S_2","Rhodoplanes","  29407",4344638.02638358,3261836.79299842,5682774.35079785,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","29407",NA,"29407","45401","356","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_26","  5","16S_2","bacterium Ellin335"," 204678",4131788.70828995,1965727.93082682,7555037.03780251,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","204678","204678",NA,"1921568","1921567","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_27","  5","16S_2","Flavitalea sp.","1909289",3975566.5,3974440.05489643,3976692.94510357,"OK","reference_mean","1909289","1909289","1210116","563835","1853229","1853228","976","2","1783270","1",NA,NA,NA,NA,NA,NA,NA
"query_28","  5","16S_2","Telmatobacter bradus"," 474953",5825589.87863938,3740315.57305397,8589750.56828321,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","474953","474953","1078829","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_29","  5","16S_2","Nevskia","  64001",4809736.50896832,3646661.90979201,6289069.13847351,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","64001",NA,"64001","568386","1775403","1236","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_30","  5","16S_2","Streptomyces","   1883",8609849.18961462,6550032.79215804,11115317.504146,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","1883",NA,"1883","2062","85011","1760","201174","2","1783272","1",NA,NA,NA,NA,NA,NA,NA
"query_31","264","16S_1","Acidobacteriaceae bacterium","2052142",4004784.32805071,4004349.27978725,4005219.37631418,"OK","reference_mean","2052142","2052142",NA,"204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_32","182","16S_1","unclassified Granulicella","2621151",5391167.12823826,3840059.27273448,7225666.6730528,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","2621151",NA,"940557","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_33","161","16S_1","Opitutus sp.","1913982",3692303.48387097,3691345.64879904,3693261.31894289,"OK","reference_mean","1913982","1913982","178440","134623","415000","414999","74201","2","1783257","1",NA,NA,NA,NA,NA,NA,NA
"query_34","116","16S_1","Granulicella sp.","1969471",3566997.38709677,3566339.71592445,3567655.0582691,"OK","reference_mean","1969471","1969471","940557","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_35"," 94","16S_1","Geobacter pickeringii"," 345632",3618700,NA,NA,"OK","reference_mean","345632","345632","28231","213422","3031668","3031651","200940","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_36"," 79","16S_1","Beijerinckiaceae","  45404",4888048.67202322,2600513.0704145,8030573.88480222,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","45404",NA,NA,"45404","356","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_37"," 76","16S_1","Methylocystis sp.","1911079",2784004.66666667,2783319.21900231,2784690.11433102,"OK","reference_mean","1911079","1911079","133","31993","356","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_38"," 69","16S_1","type II methanotroph metano-II"," 120308",4764118.16615941,2407145.8973311,8100786.52447375,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","120308","120308",NA,"31993","356","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_39"," 64","16S_1","Syntrophobacter wolinii","  29527",4858431.91280637,3553589.81693714,6598159.02678712,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","29527","29527","29526","213465","213462","3024408","200940","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_40"," 54","16S_1","Acidobacteriaceae bacterium K5","1078887",5460430.25645187,2913512.75346661,9051254.92321206,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","1078887","1078887",NA,"204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_41"," 50","16S_1","Sideroxydans"," 314343",3368646.67454601,2330554.13204762,4766169.21480827,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","314343",NA,"314343","90627","32003","28216","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_42"," 44","16S_1","Rhodopila globiformis","   1071",7247838,NA,NA,"OK","reference_mean","1071","1071","1070","433","204441","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_43"," 43","16S_1","Telmatobacter bradus"," 474953",5805480.51050683,3868001.57766446,8560325.28130923,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","474953","474953","1078829","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_44"," 36","16S_1","Acidobacteriaceae"," 204434",5464950.55886041,2807375.99533365,8923575.81977547,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","204434",NA,NA,"204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_45"," 30","16S_1","bacterium Ellin5058"," 234245",5497721.33640875,2928160.40850882,9168662.55855805,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","234245","234245",NA,"204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_46"," 28","16S_1","Acidisphaera","  50714",5809615.01943026,4160232.08272841,7922547.51410059,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","50714",NA,"50714","433","204441","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_47"," 28","16S_1","Terracidiphilus gabretensis","1577687",5345618,NA,NA,"OK","reference_mean","1577687","1577687","1768185","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_48"," 27","16S_1","Thermomonosporaceae bacterium YE4-D4-16-CH2"," 795107",7843414.98128154,4398885.67147114,13054348.8303319,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","795107","795107",NA,"2012","85012","1760","201174","2","1783272","1",NA,NA,NA,NA,NA,NA,NA
"query_49"," 26","16S_1","bacterium Ellin335"," 204678",4082924.69865612,1841399.27926764,7563312.19467851,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","204678","204678",NA,"1921568","1921567","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_50"," 25","16S_1","Rhizomicrobium sp. URHD0049","1703066",4464191.07123837,3071248.69471812,6172127.91942654,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","1703066","1703066","1241326","1921568","1921567","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_51"," 18","16S_1","Blastochloris","  59282",3944713.12287924,2773446.24318232,5460135.94687684,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","59282",NA,"59282","2831090","356","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_52"," 17","16S_1","Steroidobacter sp.","1978227",4827295.14285714,4825816.22558585,4828774.06012844,"OK","reference_mean","1978227","1978227","469322","2689614","3060226","1236","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_53"," 16","16S_1","unclassified Bradyrhizobium","2631580",8200336.11526031,6068640.35767371,10706801.5196554,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","2631580",NA,"374","41294","356","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_54"," 14","16S_1","Aciditerrimonas sp.","1872117",2974766.7414494,1870470.03488769,4458914.20626081,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","1872117","1872117","1042325","84994","84993","84992","201174","2","1783272","1",NA,NA,NA,NA,NA,NA,NA
"query_55"," 13","16S_1","Flavitalea sp.","1909289",3975566.5,3974440.05489643,3976692.94510357,"OK","reference_mean","1909289","1909289","1210116","563835","1853229","1853228","976","2","1783270","1",NA,NA,NA,NA,NA,NA,NA
"query_56"," 13","16S_1","Spirochaeta sp.","  28185",2788768.16666667,2787717.81107982,2789818.52225351,"OK","reference_mean","28185","28185","146","137","136","203692","203691","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_57"," 12","16S_1","unclassified Telmatobacter","2634852",5856992.2068768,3820535.75769891,8588302.55085281,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","2634852",NA,"1078829","204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_58"," 12","16S_1","Acidobacteriaceae bacterium LWQ3","1387378",5507915.01943786,2867964.70404355,9283692.40772864,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","1387378","1387378",NA,"204434","204433","204432","57723","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_59","  9","16S_1","Rhodoplanes","  29407",4361176.19029915,3265726.51990867,5847616.78617574,"Confidence interval to estimated size ratio > ci_threshold","bayesian Bacteria","29407",NA,"29407","45401","356","28211","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_60","  9","16S_1","Solimicrobium silvestre","2099400",5243257,NA,NA,"OK","reference_mean","2099400","2099400","2249306","75682","80840","28216","1224","2",NA,"1",NA,NA,NA,NA,NA,NA,NA
"query_61"," 76","ITS_3","Psathyrella marquana","2259056",42492908.334751,23728476.5719089,69523537.4245879,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","2259056","2259056","71729","184208","5338","155619","5204","2759","33154","1","452333","2982305","5302","451864","4751",NA,NA
"query_62"," 27","ITS_3","Saitozyma ninhbinhensis"," 388101",22281428.1006198,11424302.3959881,37709415.43396,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","388101","388101","1890244","1890237","5234","155616","5204","2759","33154","1",NA,NA,"5302","451864","4751",NA,NA
"query_63"," 21","ITS_3","Mucor hiemalis","  64493",41018422.2849897,26194960.8597338,56307093.4144005,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","64493","64493","4830","34489","4827","2212703","1913637","2759","33154","1",NA,"1344963","451507",NA,"4751",NA,NA
"query_64"," 19","ITS_3","Apiotrichum dulcitum","  82515",25244173.756205,20700060.5715722,30476750.4820164,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","82515","82515","105983","1759442","1851469","155616","5204","2759","33154","1",NA,NA,"5302","451864","4751",NA,NA
"query_65"," 18","ITS_3","Hebeloma crustuliniforme","  34454",48409496.8160518,24489995.9295845,94809445.1107318,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","34454","34454","34453","80649","5338","155619","5204","2759","33154","1","452333","2982305","5302","451864","4751",NA,NA
"query_66"," 13","ITS_3","Didymellaceae"," 683158",36300866.9288763,24721925.9314976,50364281.9974807,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","683158",NA,NA,"683158","92860","147541","4890","2759","33154","1","451868","715340","147538","451864","4751",NA,NA
"query_67"," 12","ITS_3","Cladosporium","   5498",36406636.203679,13623670.5485285,81983121.2067861,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","5498",NA,"5498","452563","2726946","147541","4890","2759","33154","1","451867",NA,"147538","451864","4751",NA,NA
"query_68"," 11","ITS_3","Fusarium oxysporum","   5507",52804881.8126685,52804074.9162655,52805688.7090715,"OK","reference_mean","5507","5507","5506","110618","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751","171631",NA
"query_69"," 11","ITS_3","Ascobolus stercorarius"," 255055",65452989.7338823,29592166.1386134,130438303.657093,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","255055","255055","5190","5189","5185","147549","4890","2759","33154","1",NA,NA,"147538","451864","4751",NA,NA
"query_70"," 10","ITS_3","Chaetomiaceae sp.","1756124",34329998.0379845,23160471.098034,49243329.1774142,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1756124","1756124",NA,"35718","5139","147550","4890","2759","33154","1","222544",NA,"147538","451864","4751",NA,NA
"query_71"," 10","ITS_3","Lectera colletotrichoides","1208925",38916623.5888361,24951000.3216614,56806832.6537871,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1208925","1208925","1208924","1033978","1028384","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751",NA,NA
"query_72","  9","ITS_3","Mucor sp.","1715236",41012114.4997893,26272748.7039138,57926720.8040206,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1715236","1715236","4830","34489","4827","2212703","1913637","2759","33154","1",NA,"1344963","451507",NA,"4751",NA,NA
"query_73","  9","ITS_3","Fusarium tricinctum species complex"," 679429",45276982.3543712,36814958.7145991,55174308.9576831,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","679429",NA,"5506","110618","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751","679429",NA
"query_74","  9","ITS_3","Linnemannia elongata"," 310910",48100048,48098299.2291732,48101796.7708268,"OK","reference_mean","310910","310910","2779861","4854","214503","2212732","1913637","2759","33154","1",NA,NA,"1137986",NA,"4751",NA,NA
"query_75","  8","ITS_3","Trichoderma sp.","1715253",37400797.3909272,30139229.0988342,45259882.1494044,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1715253","1715253","5543","5129","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751",NA,NA
"query_76","  8","ITS_3","Gaeumannomyces","  29849",41378400.0866839,31413096.9311018,54185203.8074863,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","29849",NA,"29849","81093","639021","147550","4890","2759","33154","1","222544",NA,"147538","451864","4751",NA,NA
"query_77","  7","ITS_3","Mortierella sp.","1715235",42713781.0452779,22190447.9580722,76469318.5548515,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1715235","1715235","4855","4854","214503","2212732","1913637","2759","33154","1",NA,NA,"1137986",NA,"4751",NA,NA
"query_78","  7","ITS_3","Entomortierella beljakovae"," 979673",37752271,NA,NA,"OK","reference_mean","979673","979673","2779859","4854","214503","2212732","1913637","2759","33154","1",NA,NA,"1137986",NA,"4751",NA,NA
"query_79","  7","ITS_3","Hypomyces samuelsii"," 767784",38923046.4013256,24031362.1330392,58837829.5042295,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","767784","767784","5130","5129","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751",NA,NA
"query_80","  6","ITS_3","Fusarium proliferatum"," 948311",45269225.7241379,45267388.5107675,45271062.9375084,"OK","reference_mean","948311","948311","5506","110618","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751","171627",NA
"query_81","  6","ITS_3","Allophylaria subliciformis","2478803",45971308.8810942,21257035.3409629,84875785.1251089,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","2478803","2478803","2478802","2488219","5178","147548","4890","2759","33154","1",NA,NA,"147538","451864","4751",NA,NA
"query_82","  5","ITS_3","Alternaria sp.","1715220",35587647.7232925,30636289.5221927,40626826.7307162,"OK","bayesian Eukaryota","1715220","1715220","5598","28556","92860","147541","4890","2759","33154","1","451868","715340","147538","451864","4751",NA,NA
"query_83","  5","ITS_3","Saccotheciaceae","1570301",28264674.4626661,17687108.3563192,43781590.6165699,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1570301",NA,NA,"1570301","5014","147541","4890","2759","33154","1","451867",NA,"147538","451864","4751",NA,NA
"query_84","  5","ITS_3","Neoascochyta exitialis"," 487631",36659021.6481585,25394872.9389645,51948341.7464131,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","487631","487631","1770170","683158","92860","147541","4890","2759","33154","1","451868","715340","147538","451864","4751",NA,NA
"query_85","  4","ITS_3","Agaricaceae sp. 325","1198532",39160541.5836256,21415565.8290898,67498149.6178043,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1198532","1198532",NA,"5339","5338","155619","5204","2759","33154","1","452333","2982305","5302","451864","4751",NA,NA
"query_86","  4","ITS_3","Volutella ciliata"," 145967",48136137.3731478,30124444.9419817,72212795.5086961,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","145967","145967","145966","110618","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751",NA,NA
"query_87","  4","ITS_3","Fusarium","   5506",45344476.4888019,37254091.8068243,54748160.2962327,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","5506",NA,"5506","110618","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751",NA,NA
"query_88","  4","ITS_3","Phoma herbarum","  73001",38509758,NA,NA,"OK","reference_mean","73001","73001","37463","683158","92860","147541","4890","2759","33154","1","451868","715340","147538","451864","4751",NA,NA
"query_89","  4","ITS_3","Fusarium tricinctum","  61284",42608373.8,42607082.2137598,42609665.3862402,"OK","reference_mean","61284","61284","5506","110618","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751","679429",NA
"query_90","  4","ITS_3","Ceratobasidium sp. FO 38200"," 386466",52693244.7615287,26531250.0950936,88822785.5553367,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","386466","386466","5251","5250","36064","155619","5204","2759","33154","1",NA,NA,"5302","451864","4751",NA,NA
"query_91","112","ITS_2","Saitozyma ninhbinhensis"," 388101",22373413.7060175,11959370.2410395,37761535.5275268,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","388101","388101","1890244","1890237","5234","155616","5204","2759","33154","1",NA,NA,"5302","451864","4751",NA,NA
"query_92"," 81","ITS_2","Linnemannia elongata"," 310910",48100048,48098299.2291732,48101796.7708268,"OK","reference_mean","310910","310910","2779861","4854","214503","2212732","1913637","2759","33154","1",NA,NA,"1137986",NA,"4751",NA,NA
"query_93"," 68","ITS_2","Cladosporium","   5498",36698679.15772,13094018.9043611,80053695.5794277,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","5498",NA,"5498","452563","2726946","147541","4890","2759","33154","1","451867",NA,"147538","451864","4751",NA,NA
"query_94"," 37","ITS_2","Fusarium oxysporum","   5507",52804881.8126685,52804074.9162655,52805688.7090715,"OK","reference_mean","5507","5507","5506","110618","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751","171631",NA
"query_95"," 31","ITS_2","Chaetomiaceae sp.","1756124",34517904.1464536,23778000.2642198,49312069.1528943,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1756124","1756124",NA,"35718","5139","147550","4890","2759","33154","1","222544",NA,"147538","451864","4751",NA,NA
"query_96"," 29","ITS_2","Fonsecaea minima","1367421",34646800.8402097,26623727.2435064,45250695.8157732,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1367421","1367421","40354","43219","34395","147545","4890","2759","33154","1","451870",NA,"147538","451864","4751",NA,NA
"query_97"," 27","ITS_2","Nectria cinnabarina","  29855",48487728.7494728,31857061.8955358,72912528.253248,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","29855","29855","5133","110618","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751",NA,NA
"query_98"," 25","ITS_2","Didymella pinodella"," 749633",36115625.125,36114205.4745878,36117044.7754122,"OK","reference_mean","749633","749633","55170","683158","92860","147541","4890","2759","33154","1","451868","715340","147538","451864","4751",NA,NA
"query_99"," 23","ITS_2","Hebeloma crustuliniforme","  34454",48135529.6759535,24737772.7096956,86191197.150791,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","34454","34454","34453","80649","5338","155619","5204","2759","33154","1","452333","2982305","5302","451864","4751",NA,NA
"query_100"," 19","ITS_2","Fusarium tricinctum","  61284",42608373.8,42607082.2137598,42609665.3862402,"OK","reference_mean","61284","61284","5506","110618","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751","679429",NA
"query_101"," 19","ITS_2","Capnobotryella sp. MA 3619"," 447491",24462664.8340745,16590302.5225626,34549343.1024832,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","447491","447491","62131","668547","2726947","147541","4890","2759","33154","1","451867",NA,"147538","451864","4751",NA,NA
"query_102"," 18","ITS_2","Shiraia bambusicola"," 224420",30870752,NA,NA,"OK","reference_mean","224420","224420","224419","224418","92860","147541","4890","2759","33154","1","451868",NA,"147538","451864","4751",NA,NA
