"","COUNT","SAMPLE","SCIENTIFIC_NAME","TAXID","estimated_genome_size","estimated_genome_size_confidence_interval","genome_size_estimation_status","model_used","LCA","species","genus","family","order","class","phylum","clade","superkingdom","no rank","subphylum","suborder","subclass","subkingdom","kingdom","species group","section","confidence_interval_lower","confidence_interval_upper"
"query...1"," 75","16S_2","Mycobacterium","   1763",4548335.04717853,"1794698.6;10256181","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1763",NA,"1763","1762","85007","1760","201174","1783272","2","1",NA,NA,NA,NA,NA,NA,NA," 1794698.6"," 10256181"
"query...2"," 39","16S_2","unclassified Bradyrhizobium","2631580",8047625.26521531,"3661376.6;19852261","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","2631580",NA,"374","41294","356","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 3661376.6"," 19852261"
"query...3"," 22","16S_2","Acidicapsa sp. CE1","1078845",6268877.36246068,"3321437.9;12210468","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1078845","1078845","1078830","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 3321437.9"," 12210468"
"query...4"," 18","16S_2","Bacillaceae"," 186817",6268877.36246068,"3645787.8;11077929","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","186817",NA,NA,"186817","1385","91061","1239","1783272","2","1",NA,NA,NA,NA,NA,NA,NA," 3645787.8"," 11077929"
"query...5"," 15","16S_2","Silvibacterium bohemicum","1577686",6455356.5,"100.849571144353","OK","reference_mean","1577686","1577686","1775468","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 2377923.0"," 12255129"
"query...6"," 14","16S_2","Hyphomicrobiaceae","  45401",6268877.36246068,"3955898.7;10472940","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","45401",NA,NA,"45401","356","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 3955898.7"," 10472940"
"query...7"," 13","16S_2","Granulicella"," 940557",4677459.06987119,"1932090.4;10268185","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","940557",NA,"940557","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 1932090.4"," 10268185"
"query...8"," 12","16S_2","unclassified Acidobacteriaceae"," 112074",6268877.36246068,"3805752.8;11736321","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","112074",NA,NA,"204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 3805752.8"," 11736321"
"query...9"," 10","16S_2","unclassified Telmatobacter","2634852",6268877.36246068,"3322654.8;12944180","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","2634852",NA,"1078829","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 3322654.8"," 12944180"
"query...10"," 10","16S_2","Sphingobacteriaceae","  84566",6268877.36246068,"3444605.3;12688096","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","84566",NA,NA,"84566","200666","117747","976","1783270","2","1",NA,NA,NA,NA,NA,NA,NA," 3444605.3"," 12688096"
"query...11","  9","16S_2","Heyndrickxia acidicola"," 209389",5137992,NA,"OK","reference_mean","209389","209389","1386","186817","1385","91061","1239","1783272","2","1",NA,NA,NA,NA,NA,NA,NA," 2157700.8"," 11879244"
"query...12","  9","16S_2","Steroidobacter sp.","1978227",8537399,NA,"OK","reference_mean","1978227","1978227","469322","2689614","1775403","1236","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 2587025.4"," 15092621"
"query...13","  8","16S_2","Acidisphaera sp. C37","1671484",4990995.32043863,"2169932;11727022","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1671484","1671484","50714","433","204441","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 2169932.0"," 11727022"
"query...14","  8","16S_2","Bradyrhizobium sp. URHC0015","1703014",8047625.26521531,"3661376.6;19852261","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1703014","1703014","374","41294","356","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 3661376.6"," 19852261"
"query...15","  8","16S_2","unclassified Geobacter","2627627",3434506.30052967,"1561826.9;8962086","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","2627627",NA,"28231","213422","69541","28221","1224",NA,"2","1","68525",NA,NA,NA,NA,NA,NA," 1561826.9","  8962086"
"query...16","  7","16S_2","unclassified Herbaspirillum","2624150",5430686.20913666,"2799024.6;14143999","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","2624150",NA,"963","75682","80840","28216","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 2799024.6"," 14143999"
"query...17","  6","16S_2","unclassified Rhizomicrobium","2649895",3323666.00131047,"1264122.1;9329087","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","2649895",NA,"1241326","1921568","1921567","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 1264122.1","  9329087"
"query...18","  6","16S_2","Blastochloris","  59282",3406532.5461267,"1562213.9;8910133","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","59282",NA,"59282","2831090","356","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 1562213.9","  8910133"
"query...19","  6","16S_2","Edaphobacter sp.","1934404",4787281,NA,"OK","reference_mean","1934404","1934404","388463","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 2807319.3"," 14084841"
"query...20","  6","16S_2","Clostridium magnum","  33954",3343101.02651906,"1266532.9;6649572","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","33954","33954","1485","31979","186802","186801","1239","1783272","2","1",NA,NA,NA,NA,NA,NA,NA," 1266532.9","  6649572"
"query...21","  6","16S_2","Rhodoplanes sp.","1968906",6477518,NA,"OK","reference_mean","1968906","1968906","29407","45401","356","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 1550695.8","  7643380"
"query...22","  6","16S_2","Aetherobacter"," 888829",6268877.36246068,"3226469.4;10853744","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","888829",NA,"888829","49","29","28221","1224",NA,"2","1","68525","80812",NA,NA,NA,NA,NA," 3226469.4"," 10853744"
"query...23","  5","16S_2","Edaphobacter lichenicola","2051959",5290040.42857143,"835.20986399313","OK","reference_mean","2051959","2051959","388463","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 2807319.3"," 14084841"
