"","COUNT","SAMPLE","SCIENTIFIC_NAME","TAXID","estimated_genome_size","confidence_interval_lower","confidence_interval_upper","genome_size_estimation_status","model_used","LCA","species","genus","family","order","class","phylum","clade","superkingdom","no rank","subclass","suborder","subphylum","subkingdom","kingdom","species group","section"
"query_1"," 75","16S_2","Mycobacterium","   1763",5653672.49118327," 4405674","  7726719","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1763",NA,"1763","1762","85007","1760","201174","1783272","2","1",NA,NA,NA,NA,NA,NA,NA
"query_2"," 39","16S_2","unclassified Bradyrhizobium","2631580",8098294.80631165," 6076178"," 10251071","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","2631580",NA,"374","41294","356","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_3"," 22","16S_2","Acidicapsa sp. CE1","1078845",6198197.01215422," 4912539","  7867842","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1078845","1078845","1078830","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_4"," 18","16S_2","Bacillaceae"," 186817",3774280.65506554," 2022935","  6058120","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","186817",NA,NA,"186817","1385","91061","1239","1783272","2","1",NA,NA,NA,NA,NA,NA,NA
"query_5"," 15","16S_2","Silvibacterium bohemicum","1577686",6455356.5," 4283136","  7393694","OK","reference_mean","1577686","1577686","1775468","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_6"," 14","16S_2","Hyphomicrobiaceae","  45401",3706729.95318933," 3164537","  5599004","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","45401",NA,NA,"45401","356","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_7"," 13","16S_2","Granulicella"," 940557",5321025.94860602," 4324545","  6834987","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","940557",NA,"940557","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_8"," 12","16S_2","unclassified Acidobacteriaceae"," 112074",5348487.95550723," 3590048","  8103226","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","112074",NA,NA,"204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_9"," 10","16S_2","unclassified Telmatobacter","2634852",5829818.32320584," 4462486","  7952467","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","2634852",NA,"1078829","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_10"," 10","16S_2","Sphingobacteriaceae","  84566",4652240.45275382," 3460375","  6162917","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","84566",NA,NA,"84566","200666","117747","976","1783270","2","1",NA,NA,NA,NA,NA,NA,NA
"query_11","  9","16S_2","Heyndrickxia acidicola"," 209389",5111003," 3463664","  4751258","OK","reference_mean","209389","209389","2837504","186817","1385","91061","1239","1783272","2","1",NA,NA,NA,NA,NA,NA,NA
"query_12","  9","16S_2","Steroidobacter sp.","1978227",4827295.14285714," 4341327"," 10461899","OK","reference_mean","1978227","1978227","469322","2689614","3060226","1236","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_13","  8","16S_2","Acidisphaera sp. C37","1671484",5690168.5001532," 4615220","  7168896","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1671484","1671484","50714","433","204441","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_14","  8","16S_2","Bradyrhizobium sp. URHC0015","1703014",8098294.80631165," 6076178"," 10251071","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1703014","1703014","374","41294","356","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_15","  8","16S_2","unclassified Geobacter","2627627",3963626.76460628," 3148461","  5399030","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","2627627",NA,"28231","213422","3031668","3031651","200940",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_16","  7","16S_2","unclassified Herbaspirillum","2624150",5313702.4596954," 4245604","  6383049","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","2624150",NA,"963","75682","80840","28216","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_17","  6","16S_2","unclassified Rhizomicrobium","2649895",4503218.26874712," 2001340","  8190573","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","2649895",NA,"1241326","1921568","1921567","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_18","  6","16S_2","Blastochloris","  59282",3846233.39459484," 1763076","  7958732","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","59282",NA,"59282","2831090","356","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_19","  6","16S_2","Edaphobacter sp.","1934404",3657159.07142857," 4129413","  6351896","OK","reference_mean","1934404","1934404","388463","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_20","  6","16S_2","Clostridium magnum","  33954",3879776.34901009," 3118583","  4660668","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","33954","33954","1485","31979","186802","186801","1239","1783272","2","1",NA,NA,NA,NA,NA,NA,NA
"query_21","  6","16S_2","Rhodoplanes sp.","1968906",4566979.2," 3305898","  5695258","OK","reference_mean","1968906","1968906","29407","45401","356","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_22","  6","16S_2","Aetherobacter"," 888829",28684680.4728591,"17035607"," 33210962","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","888829",NA,"888829","49","3031712",NA,"2818505",NA,"2","1","3031711",NA,NA,NA,NA,NA,NA
"query_23","  5","16S_2","Edaphobacter lichenicola","2051959",5290040.42857143," 4129413","  6351896","OK","reference_mean","2051959","2051959","388463","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_24","  5","16S_2","Rhizomicrobium sp. URHD0049","1703066",4503218.26874712," 2001340","  8190573","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1703066","1703066","1241326","1921568","1921567","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_25","  5","16S_2","Rhodoplanes","  29407",4300568.97382752," 3305898","  5695258","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","29407",NA,"29407","45401","356","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_26","  5","16S_2","bacterium Ellin335"," 204678",4581725.00537182," 2746726","  8904965","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","204678","204678",NA,"1921568","1921567","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_27","  5","16S_2","Flavitalea sp.","1909289",3975566.5," 5670077","  9943460","OK","reference_mean","1909289","1909289","1210116","563835","1853229","1853228","976","1783270","2","1",NA,NA,NA,NA,NA,NA,NA
"query_28","  5","16S_2","Telmatobacter bradus"," 474953",5829818.32320584," 4462486","  7952467","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","474953","474953","1078829","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_29","  5","16S_2","Nevskia","  64001",4728318.59324426," 3566158","  6604060","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","64001",NA,"64001","568386","1775403","1236","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_30","  5","16S_2","Streptomyces","   1883",8506390.90607524," 6878574"," 11195049","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1883",NA,"1883","2062","85011","1760","201174","1783272","2","1",NA,NA,NA,NA,NA,NA,NA
"query_31","264","16S_1","Acidobacteriaceae bacterium","2052142",4004784.32805071," 2755475","  9213418","OK","reference_mean","2052142","2052142",NA,"204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_32","182","16S_1","unclassified Granulicella","2621151",5321025.94860602," 4324545","  6834987","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","2621151",NA,"940557","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_33","161","16S_1","Opitutus sp.","1913982",3692303.48387097," 3885817","  6987635","OK","reference_mean","1913982","1913982","178440","134623","415000","414999","74201","1783257","2","1",NA,NA,NA,NA,NA,NA,NA
"query_34","116","16S_1","Granulicella sp.","1969471",3566997.38709677," 4324545","  6834987","OK","reference_mean","1969471","1969471","940557","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_35"," 94","16S_1","Geobacter pickeringii"," 345632",3618700," 3148461","  5399030","OK","reference_mean","345632","345632","28231","213422","3031668","3031651","200940",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_36"," 79","16S_1","Beijerinckiaceae","  45404",4521843.65709084," 3086076","  6140321","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","45404",NA,NA,"45404","356","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
"query_37"," 76","16S_1","Methylocystis sp.","1911079",2784004.66666667," 2490434","  6622440","OK","reference_mean","1911079","1911079","133","31993","356","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA
