"","COUNT","SAMPLE","SCIENTIFIC_NAME","TAXID","estimated_genome_size","confidence_interval_lower","confidence_interval_upper","genome_size_estimation_status","genome_size_estimation_rank","genome_size_estimation_distance","LCA","genus","family","order","class","phylum","clade","superkingdom","no rank","model_used","species","subclass","suborder","subphylum","subkingdom","kingdom","species group","section"
"query_1"," 75","16S_2","Mycobacterium","   1763",5698532.49895791,5646803.03777707,5750261.96013874,"OK","genus",1,"1763","1763","1762","85007","1760","201174","1783272","2","1","weighted_mean",NA,NA,NA,NA,NA,NA,NA,NA
"query_2"," 39","16S_2","unclassified Bradyrhizobium","2631580",8053629.35777307,8012992.67383749,8094266.04170864,"OK","no rank",1,"2631580","374","41294","356","28211","1224",NA,"2","1","weighted_mean",NA,NA,NA,NA,NA,NA,NA,NA
"query_3"," 22","16S_2","Acidicapsa sp. CE1","1078845",6321031.33333333,6114660.00802011,6527402.65864656,"OK","genus",3,"1078845","1078830","204434","204433","204432","57723",NA,"2","1","weighted_mean","1078845",NA,NA,NA,NA,NA,NA,NA
"query_4"," 18","16S_2","Bacillaceae"," 186817",4591108.66296344,4572336.24503258,4609881.08089429,"OK","family",1,"186817",NA,"186817","1385","91061","1239","1783272","2","1","weighted_mean",NA,NA,NA,NA,NA,NA,NA,NA
"query_5"," 15","16S_2","Silvibacterium bohemicum","1577686",6455356.5,6452761.95,6457951.05,"OK","species",1,"1577686","1775468","204434","204433","204432","57723",NA,"2","1","weighted_mean","1577686",NA,NA,NA,NA,NA,NA,NA
"query_6"," 14","16S_2","Hyphomicrobiaceae","  45401",3792474.85297296,3627054.34103445,3957895.36491146,"OK","family",1,"45401",NA,"45401","356","28211","1224",NA,"2","1","weighted_mean",NA,NA,NA,NA,NA,NA,NA,NA
"query_7"," 13","16S_2","Granulicella"," 940557",4793740.02117812,4525016.82703619,5062463.21532005,"OK","genus",1,"940557","940557","204434","204433","204432","57723",NA,"2","1","weighted_mean",NA,NA,NA,NA,NA,NA,NA,NA
"query_8"," 12","16S_2","unclassified Acidobacteriaceae"," 112074",4424371.30255006,3950595.25406069,4898147.35103943,"OK","no rank",1,"112074",NA,"204434","204433","204432","57723",NA,"2","1","weighted_mean",NA,NA,NA,NA,NA,NA,NA,NA
"query_9"," 10","16S_2","unclassified Telmatobacter","2634852",5718671.74964846,5652866.30504182,5784477.19425509,"OK","family",3,"2634852","1078829","204434","204433","204432","57723",NA,"2","1","weighted_mean",NA,NA,NA,NA,NA,NA,NA,NA
"query_10"," 10","16S_2","Sphingobacteriaceae","  84566",5151569.58213602,5102537.36638523,5200601.79788681,"OK","family",1,"84566",NA,"84566","200666","117747","976","1783270","2","1","weighted_mean",NA,NA,NA,NA,NA,NA,NA,NA
"query_11","  9","16S_2","Heyndrickxia acidicola"," 209389",5111003,5084553.78,5137452.22,"OK","species",1,"209389","2837504","186817","1385","91061","1239","1783272","2","1","weighted_mean","209389",NA,NA,NA,NA,NA,NA,NA
"query_12","  9","16S_2","Steroidobacter sp.","1978227",4827295.14285714,4269336.90425151,5385253.38146278,"OK","species",1,"1978227","469322","2689614","3060226","1236","1224",NA,"2","1","weighted_mean","1978227",NA,NA,NA,NA,NA,NA,NA
"query_13","  8","16S_2","Acidisphaera sp. C37","1671484",5867375.89855072,4827654.59899794,6907097.19810351,"OK","no rank",2,"1671484","50714","433","204441","28211","1224",NA,"2","1","weighted_mean","1671484",NA,NA,NA,NA,NA,NA,NA
"query_14","  8","16S_2","Bradyrhizobium sp. URHC0015","1703014",8053629.35777307,8026538.23514935,8080720.48039678,"OK","no rank",2,"1703014","374","41294","356","28211","1224",NA,"2","1","weighted_mean","1703014",NA,NA,NA,NA,NA,NA,NA
"query_15","  8","16S_2","unclassified Geobacter","2627627",3203457.277,3042914.94676165,3363999.60723835,"OK","no rank",1,"2627627","28231","213422","3031668","3031651","200940",NA,"2","1","weighted_mean",NA,NA,NA,NA,NA,NA,NA,NA
"query_16","  7","16S_2","unclassified Herbaspirillum","2624150",5283140.98552632,5192138.33476563,5374143.636287,"OK","no rank",1,"2624150","963","75682","80840","28216","1224",NA,"2","1","weighted_mean",NA,NA,NA,NA,NA,NA,NA,NA
"query_17","  6","16S_2","unclassified Rhizomicrobium","2649895",NA,NA,NA,"Confidence interval to estimated size ratio > ci_threshold",NA,NA,"2649895","1241326","1921568","1921567","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"query_18","  6","16S_2","Blastochloris","  59282",3399248.0625,3088958.01319737,3709538.11180263,"OK","genus",1,"59282","59282","2831090","356","28211","1224",NA,"2","1","weighted_mean",NA,NA,NA,NA,NA,NA,NA,NA
"query_19","  6","16S_2","Edaphobacter sp.","1934404",3657159.07142857,3395128.44403241,3919189.69882473,"OK","species",1,"1934404","388463","204434","204433","204432","57723",NA,"2","1","weighted_mean","1934404",NA,NA,NA,NA,NA,NA,NA
"query_20","  6","16S_2","Clostridium magnum","  33954",6551967,6470663.26,6633270.74,"OK","species",1,"33954","1485","31979","186802","186801","1239","1783272","2","1","weighted_mean","33954",NA,NA,NA,NA,NA,NA,NA
"query_21","  6","16S_2","Rhodoplanes sp.","1968906",NA,NA,NA,"Confidence interval to estimated size ratio > ci_threshold",NA,NA,"1968906","29407","45401","356","28211","1224",NA,"2","1",NA,"1968906",NA,NA,NA,NA,NA,NA,NA
"query_22","  6","16S_2","Aetherobacter"," 888829",12008764.4803678,11518182.9871185,12499345.9736172,"OK","family",2,"888829","888829","49","3031712",NA,"2818505",NA,"2","1","weighted_mean",NA,"3031711",NA,NA,NA,NA,NA,NA
"query_23","  5","16S_2","Edaphobacter lichenicola","2051959",5290040.42857143,5112087.49058382,5467993.36655904,"OK","species",1,"2051959","388463","204434","204433","204432","57723",NA,"2","1","weighted_mean","2051959",NA,NA,NA,NA,NA,NA,NA
"query_24","  5","16S_2","Rhizomicrobium sp. URHD0049","1703066",NA,NA,NA,"Confidence interval to estimated size ratio > ci_threshold",NA,NA,"1703066","1241326","1921568","1921567","28211","1224",NA,"2","1",NA,"1703066",NA,NA,NA,NA,NA,NA,NA
"query_25","  5","16S_2","Rhodoplanes","  29407",5823781.10555556,5040305.06123946,6607257.14987165,"OK","genus",1,"29407","29407","45401","356","28211","1224",NA,"2","1","weighted_mean",NA,NA,NA,NA,NA,NA,NA,NA
"query_26","  5","16S_2","bacterium Ellin335"," 204678",3280323.39078341,2989103.64919205,3571543.13237477,"OK","family",3,"204678",NA,"1921568","1921567","28211","1224",NA,"2","1","weighted_mean","204678",NA,NA,NA,NA,NA,NA,NA
"query_27","  5","16S_2","Flavitalea sp.","1909289",3975566.5,3651872.98689672,4299260.01310328,"OK","species",1,"1909289","1210116","563835","1853229","1853228","976","1783270","2","1","weighted_mean","1909289",NA,NA,NA,NA,NA,NA,NA
"query_28","  5","16S_2","Telmatobacter bradus"," 474953",5487934.67791856,5422129.23331193,5553740.1225252,"OK","family",3,"474953","1078829","204434","204433","204432","57723",NA,"2","1","weighted_mean","474953",NA,NA,NA,NA,NA,NA,NA
"query_29","  5","16S_2","Nevskia","  64001",4112309.70833333,3837882.58301344,4386736.83365323,"OK","genus",1,"64001","64001","568386","1775403","1236","1224",NA,"2","1","weighted_mean",NA,NA,NA,NA,NA,NA,NA,NA
"query_30","  5","16S_2","Streptomyces","   1883",8587078.35800759,8566027.39005845,8608129.32595673,"OK","genus",1,"1883","1883","2062","85011","1760","201174","1783272","2","1","weighted_mean",NA,NA,NA,NA,NA,NA,NA,NA
"query_31","264","16S_1","Acidobacteriaceae bacterium","2052142",4004784.32805071,3956501.93224926,4053066.72385216,"OK","species",1,"2052142",NA,"204434","204433","204432","57723",NA,"2","1","weighted_mean","2052142",NA,NA,NA,NA,NA,NA,NA
"query_32","182","16S_1","unclassified Granulicella","2621151",4461602.1155914,4029011.65936502,4894192.57181777,"OK","no rank",1,"2621151","940557","204434","204433","204432","57723",NA,"2","1","weighted_mean",NA,NA,NA,NA,NA,NA,NA,NA
"query_33","161","16S_1","Opitutus sp.","1913982",3692303.48387097,3458260.62034799,3926346.34739395,"OK","species",1,"1913982","178440","134623","415000","414999","74201","1783257","2","1","weighted_mean","1913982",NA,NA,NA,NA,NA,NA,NA
"query_34","116","16S_1","Granulicella sp.","1969471",3566997.38709677,3456657.75166034,3677337.0225332,"OK","species",1,"1969471","940557","204434","204433","204432","57723",NA,"2","1","weighted_mean","1969471",NA,NA,NA,NA,NA,NA,NA
"query_35"," 94","16S_1","Geobacter pickeringii"," 345632",3525220.76009524,3441067.51866762,3609374.00152286,"OK","genus",2,"345632","28231","213422","3031668","3031651","200940",NA,"2","1","weighted_mean","345632",NA,NA,NA,NA,NA,NA,NA
"query_36"," 79","16S_1","Beijerinckiaceae","  45404",4197690.50559683,3975117.64373981,4420263.36745385,"OK","family",1,"45404",NA,"45404","356","28211","1224",NA,"2","1","weighted_mean",NA,NA,NA,NA,NA,NA,NA,NA
"query_37"," 76","16S_1","Methylocystis sp.","1911079",2784004.66666667,2664147.90631805,2903861.42701528,"OK","species",1,"1911079","133","31993","356","28211","1224",NA,"2","1","weighted_mean","1911079",NA,NA,NA,NA,NA,NA,NA
"query_38"," 69","16S_1","type II methanotroph metano-II"," 120308",1782750.2195122,1566209.34002904,1999291.09899535,"OK","no rank",2,"120308",NA,"31993","356","28211","1224",NA,"2","1","weighted_mean","120308",NA,NA,NA,NA,NA,NA,NA
"query_39"," 64","16S_1","Syntrophobacter wolinii","  29527",4154643.56746032,3775288.25855206,4533998.87636857,"OK","genus",2,"29527","29526","213465","213462","3024408","200940",NA,"2","1","weighted_mean","29527",NA,NA,NA,NA,NA,NA,NA
"query_40"," 54","16S_1","Acidobacteriaceae bacterium K5","1078887",4424371.30255006,4108520.60355715,4740222.00154298,"OK","no rank",2,"1078887",NA,"204434","204433","204432","57723",NA,"2","1","weighted_mean","1078887",NA,NA,NA,NA,NA,NA,NA
